Gemeente,Totaal misdrijven_2018,Totaal misdrijven_2019,Totaal misdrijven,Totaal misdrijven_2021,Totaal misdrijven_2022
Horst aan de Maas,1 359,1 309,1 417,1 401,1 451
Houten,1 531,1 435,1 671,1 504,1 362
Huizen,1 405,1 472,1 302,1 212,1 144
Hulst,739,819,828,889,908
IJsselstein,1 148,1 191,1 341,1 050,1 055
Kaag en Braassem,749,664,730,828,750
Kampen,1 670,1 710,1 761,1 691,1 723
Kapelle,299,328,339,319,352
Katwijk,1 753,1 682,2 003,1 902,2 456
Kerkrade,2 461,2 456,2 639,2 346,2 462
Koggenland,568,621,675,640,576
Krimpen aan den IJssel,656,712,719,630,626
Krimpenerwaard,1 080,1 258,1 576,1 601,1 528
Laarbeek,587,611,691,655,624
Land van Cuijk,2 639,2 978,3 055,2 738,2 712
Landgraaf,1 483,1 661,1 428,1 376,1 548
Landsmeer,388,375,457,444,452
Lansingerland,1 710,2 044,2 021,1 871,1 855
Laren,400,494,448,472,482
Leeuwarden,6 952,6 433,6 197,5 783,6 727
Leiden,6 269,6 652,6 060,5 465,6 391
Leiderdorp,720,784,1 001,846,865
Leidschendam-Voorburg,2 976,3 092,3 521,3 176,3 558
Lelystad,4 013,4 210,3 969,3 730,3 922
Leudal,1 063,1 219,1 195,1 306,1 246
Leusden,771,895,874,795,709
Lingewaard,1 057,1 108,1 208,1 120,1 042
Lisse,721,783,733,677,728
Lochem,770,851,852,894,895
Loon op Zand,937,929,912,837,993
Lopik,274,291,396,396,370
Losser,497,580,576,485,569
Maasdriel,801,792,957,920,798
Maasgouw,668,759,719,818,773
Maashorst,2 422,2 285,2 347,2 366,2 567
Maassluis,1 141,1 182,1 374,1 183,1 237
Maastricht,8 006,8 798,6 791,6 289,7 918
Medemblik,1 131,1 361,1 417,1 283,1 258
Meerssen,568,520,582,521,669
Meierijstad,2 605,2 847,2 723,2 659,2 823
Meppel,955,1 069,1 172,1 001,1 256
Middelburg,1 905,2 158,2 182,2 062,2 262
Midden-Delfland,510,521,574,571,664
Midden-Drenthe,820,838,983,906,936
Midden-Groningen,1 812,2 082,2 039,2 310,2 302
Moerdijk,1 275,1 361,1 412,1 401,1 496
Molenlanden,769,805,955,869,862
Montferland,864,868,1 055,991,934
Montfoort,366,330,390,316,300
Mook en Middelaar,187,235,245,221,287
Neder-Betuwe,617,549,672,663,620
Nederweert,412,425,393,460,395
Nieuwegein,3 491,3 538,3 592,3 080,3 139
Nieuwkoop,655,659,732,708,679
Nijkerk,1 246,1 306,1 283,1 319,1 403
Nijmegen,11 025,11 716,10 927,10 009,11 968
Nissewaard,3 504,3 822,3 951,3 665,3 797
Noardeast-Fryslân,948,902,1 113,1 029,1 032
Noord-Beveland,250,267,282,226,232
Noordenveld,716,707,735,766,739
Noordoostpolder,1 526,1 671,1 744,1 522,1 519
Noordwijk,1 772,1 654,1 718,1 663,1 732
"Nuenen, Gerwen en Nederwetten",581,656,736,688,696
Nunspeet,676,765,788,836,941
Oegstgeest,605,722,812,684,650
Oirschot,513,549,606,573,595
Oisterwijk,1 134,1 315,1 084,944,1 074
Oldambt,1 463,1 432,1 442,1 503,1 542
Oldebroek,426,521,646,620,574
Oldenzaal,1 006,995,1 024,1 002,1 176
Olst-Wijhe,301,335,439,372,390
Ommen,472,514,484,401,519
Oost Gelre,598,664,622,623,719
Oosterhout,2 314,2 489,2 696,2 299,2 395
Ooststellingwerf,623,616,618,576,574
Oostzaan,366,386,465,407,441
Opmeer,260,270,310,271,295
Opsterland,588,585,621,577,570
Oss,4 079,4 693,4 781,4 467,4 349
Oude IJsselstreek,762,797,895,819,935
Ouder-Amstel,810,836,913,829,931
Oudewater,195,261,283,272,243
Overbetuwe,1 337,1 364,1 465,1 442,1 358
Papendrecht,892,1 002,1 106,847,908
